2026-03-20 16:02:33,171 [INFO] PROCESS START: PID=49404, Model=v5, Mode=gnn
2026-03-20 16:02:34,974 [INFO] Frame 1 | PID=49404 | Tracks=2 | Max P=0.988
2026-03-20 16:02:35,005 [INFO] Frame 2 | PID=49404 | Tracks=3 | Max P=0.990
2026-03-20 16:02:35,035 [INFO] Frame 3 | PID=49404 | Tracks=3 | Max P=0.988
2026-03-20 16:02:35,070 [INFO] Frame 4 | PID=49404 | Tracks=5 | Max P=0.990
2026-03-20 16:02:35,101 [INFO] Frame 5 | PID=49404 | Tracks=6 | Max P=0.991
2026-03-20 16:02:35,141 [INFO] Frame 6 | PID=49404 | Tracks=8 | Max P=0.981
2026-03-20 16:02:35,171 [INFO] Frame 7 | PID=49404 | Tracks=9 | Max P=0.991
2026-03-20 16:02:35,214 [INFO] Frame 8 | PID=49404 | Tracks=9 | Max P=0.992
2026-03-20 16:02:35,244 [INFO] Frame 9 | PID=49404 | Tracks=9 | Max P=0.987
2026-03-20 16:02:35,289 [INFO] Frame 10 | PID=49404 | Tracks=10 | Max P=0.988
2026-03-20 16:02:35,335 [INFO] Frame 11 | PID=49404 | Tracks=10 | Max P=0.990
2026-03-20 16:02:35,372 [INFO] Frame 12 | PID=49404 | Tracks=6 | Max P=0.987
2026-03-20 16:02:35,404 [INFO] Frame 13 | PID=49404 | Tracks=6 | Max P=0.986
2026-03-20 16:02:35,435 [INFO] Frame 14 | PID=49404 | Tracks=6 | Max P=0.987
2026-03-20 16:02:35,480 [INFO] Frame 15 | PID=49404 | Tracks=6 | Max P=0.989
2026-03-20 16:02:35,506 [INFO] Frame 16 | PID=49404 | Tracks=5 | Max P=0.989
2026-03-20 16:02:35,540 [INFO] Frame 17 | PID=49404 | Tracks=6 | Max P=0.987
2026-03-20 16:02:35,563 [INFO] Frame 18 | PID=49404 | Tracks=6 | Max P=0.987
2026-03-20 16:02:35,594 [INFO] Frame 19 | PID=49404 | Tracks=6 | Max P=0.977
2026-03-20 16:02:35,623 [INFO] Frame 20 | PID=49404 | Tracks=6 | Max P=0.977
2026-03-20 16:02:35,659 [INFO] Frame 21 | PID=49404 | Tracks=7 | Max P=0.987
2026-03-20 16:02:35,692 [INFO] Frame 22 | PID=49404 | Tracks=7 | Max P=0.970
2026-03-20 16:02:35,727 [INFO] Frame 23 | PID=49404 | Tracks=7 | Max P=0.986
2026-03-20 16:02:35,762 [INFO] Frame 24 | PID=49404 | Tracks=7 | Max P=0.981
2026-03-20 16:02:35,794 [INFO] Frame 25 | PID=49404 | Tracks=7 | Max P=0.992
2026-03-20 16:02:35,824 [INFO] Frame 26 | PID=49404 | Tracks=7 | Max P=0.987
2026-03-20 16:02:35,860 [INFO] Frame 27 | PID=49404 | Tracks=6 | Max P=0.987
2026-03-20 16:02:35,888 [INFO] Frame 28 | PID=49404 | Tracks=6 | Max P=0.981
